#b  two_atom                   plaquette
200 9.22646806570094457634e-01 5.26289456927992338464e-01 
300 9.64832813738559669225e-01 7.52327414942298156042e-01
400 9.79928514711645770596e-01 8.52731059816091430115e-01
500 9.86973991297559694047e-01 9.03570171528238819114e-01
600 9.90816609716759222337e-01 9.31489835295139512183e-01
700 9.93138909227476052166e-01 9.47955997639238212571e-01
800 9.94648259111152399647e-01 9.60097860479878661977e-01
